0.0,1757529812635,0.0
1.0,1757531341380,592.5800285791987
2.0,1757532862303,576.6898938175922
3.0,1757534383294,565.9465244955215
4.0,1757535921140,599.1101718982245
5.0,1757537455080,559.2052080636887
6.0,1757538987660,523.194142919261
7.0,1757540519963,550.5579525474853
8.0,1757542063016,628.7886056829427
9.0,1757543625936,579.3915663375009
10.0,1757545194372,551.335159422202
11.0,1757546751710,605.4581113846033
12.0,1757548309899,595.8653595675648
13.0,1757549863724,576.5784639604894
14.0,1757551413948,580.9392756959345
15.0,1757552967614,569.0081127912935
16.0,1757554522174,575.6932061870067
17.0,1757556066724,555.2274552983325
